"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"41.2","2019-11-21"," 9:17:00 AM","2019-11-21"," 3:15:00 PM","PE","11950","Sell","25","15.50","0.20","","382.50"
"42","2019-11-28"," 9:17:00 AM","2019-11-28"," 10:07:00 AM","","","","","","","14.01","-133.75"
"42.1","2019-11-28"," 9:17:00 AM","2019-11-28"," 10:07:00 AM","PE","12100","Buy","25","20.45","16.35","","-102.50"
"42.2","2019-11-28"," 9:17:00 AM","2019-11-28"," 9:19:00 AM","PE","12050","Sell","25","6.20","7.45","","-31.25"
"43","2019-12-05"," 9:17:00 AM","2019-12-05"," 11:46:00 AM","","","","","","","13.05","-178.75"
"43.1","2019-12-05"," 9:17:00 AM","2019-12-05"," 9:25:00 AM","PE","12050","Buy","25","26.85","21.50","","-133.75"
"43.2","2019-12-05"," 9:17:00 AM","2019-12-05"," 11:46:00 AM","PE","12000","Sell","25","8.90","10.70","","-45.00"
"44","2019-12-12"," 9:17:00 AM","2019-12-12"," 9:31:00 AM","","","","","","","12.80","-156.25"
"44.1","2019-12-12"," 9:17:00 AM","2019-12-12"," 9:31:00 AM","PE","11950","Buy","25","24.50","19.60","","-122.50"
"44.2","2019-12-12"," 9:17:00 AM","2019-12-12"," 9:22:00 AM","PE","11900","Sell","25","6.70","8.05","","-33.75"
"45","2019-12-19"," 9:17:00 AM","2019-12-19"," 3:15:00 PM","","","","","","","12.31","41.25"
"45.1","2019-12-19"," 9:17:00 AM","2019-12-19"," 10:52:00 AM","PE","12200","Buy","25","22.80","18.25","","-113.75"
"45.2","2019-12-19"," 9:17:00 AM","2019-12-19"," 3:15:00 PM","PE","12150","Sell","25","6.25","0.05","","155.00"
"46","2019-12-26"," 9:17:00 AM","2019-12-26"," 10:21:00 AM","","","","","","","12.07","-65.00"
"46.1","2019-12-26"," 9:17:00 AM","2019-12-26"," 10:21:00 AM","PE","12200","Buy","25","11.35","9.10","","-56.25"
"46.2","2019-12-26"," 9:17:00 AM","2019-12-26"," 9:18:00 AM","PE","12150","Sell","25","1.80","2.15","","-8.75"
"47","2020-01-02"," 9:17:00 AM","2020-01-02"," 3:15:00 PM","","","","","","","11.48","12.50"
"47.1","2020-01-02"," 9:17:00 AM","2020-01-02"," 9:20:00 AM","PE","12200","Buy","25","16.80","13.45","","-83.75"
"47.2","2020-01-02"," 9:17:00 AM","2020-01-02"," 3:15:00 PM","PE","12150","Sell","25","3.95","0.10","","96.25"
"48","2020-01-09"," 9:17:00 AM","2020-01-09"," 3:15:00 PM","","","","","","","13.82","62.50"
"48.1","2020-01-09"," 9:17:00 AM","2020-01-09"," 9:21:00 AM","PE","12150","Buy","25","26.95","21.55","","-135.00"
"48.2","2020-01-09"," 9:17:00 AM","2020-01-09"," 3:15:00 PM","PE","12100","Sell","25","7.95","0.05","","197.50"
"49","2020-01-16"," 9:17:00 AM","2020-01-16"," 11:14:00 AM","","","","","","","14.04","-126.25"
"49.1","2020-01-16"," 9:17:00 AM","2020-01-16"," 9:19:00 AM","PE","12350","Buy","25","20.35","16.30","","-101.25"
"49.2","2020-01-16"," 9:17:00 AM","2020-01-16"," 11:14:00 AM","PE","12300","Sell","25","4.95","5.95","","-25.00"
"50","2020-01-23"," 9:17:00 AM","2020-01-23"," 3:15:00 PM","","","","","","","16.64","51.25"
"50.1","2020-01-23"," 9:17:00 AM","2020-01-23"," 9:19:00 AM","PE","12100","Buy","25","28.75","23.00","","-143.75"
"50.2","2020-01-23"," 9:17:00 AM","2020-01-23"," 3:15:00 PM","PE","12050","Sell","25","7.85","0.05","","195.00"
"51","2020-01-30"," 9:17:00 AM","2020-01-30"," 3:15:00 PM","","","","","","","16.52","567.50"
"51.1","2020-01-30"," 9:17:00 AM","2020-01-30"," 3:15:00 PM","PE","12100","Buy","25","34.65","59.90","","631.25"
"51.2","2020-01-30"," 9:17:00 AM","2020-01-30"," 9:18:00 AM","PE","12050","Sell","25","12.85","15.40","","-63.75"
"52","2020-02-06"," 9:17:00 AM","2020-02-06"," 10:51:00 AM","","","","","","","14.02","-328.75"
"52.1","2020-02-06"," 9:17:00 AM","2020-02-06"," 9:44:00 AM","PE","12150","Buy","25","46.40","37.10","","-232.50"
"52.2","2020-02-06"," 9:17:00 AM","2020-02-06"," 10:51:00 AM","PE","12100","Sell","25","21.10","24.95","","-96.25"
"53","2020-02-13"," 9:17:00 AM","2020-02-13"," 3:02:00 PM","","","","","","","13.31","-272.50"
"53.1","2020-02-13"," 9:17:00 AM","2020-02-13"," 3:02:00 PM","PE","12200","Buy","25","40.05","32.05","","-200.00"
"53.2","2020-02-13"," 9:17:00 AM","2020-02-13"," 9:57:00 AM","PE","12150","Sell","25","14.50","17.40","","-72.50"
"54","2020-02-20"," 9:17:00 AM","2020-02-20"," 3:15:00 PM","","","","","","","13.66","41.25"
"54.1","2020-02-20"," 9:17:00 AM","2020-02-20"," 9:18:00 AM","PE","12100","Buy","25","24.50","19.60","","-122.50"
"54.2","2020-02-20"," 9:17:00 AM","2020-02-20"," 3:15:00 PM","PE","12050","Sell","25","6.60","0.05","","163.75"
"55","2020-02-27"," 9:17:00 AM","2020-02-27"," 2:54:00 PM","","","","","","","18.01","-257.50"
"55.1","2020-02-27"," 9:17:00 AM","2020-02-27"," 2:54:00 PM","PE","11650","Buy","25","35.70","28.55","","-178.75"
"55.2","2020-02-27"," 9:17:00 AM","2020-02-27"," 9:20:00 AM","PE","11600","Sell","25","15.70","18.85","","-78.75"
