"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"18.2","2019-06-13"," 9:17:00 AM","2019-06-13"," 9:19:00 AM","PE","11650","Buy","25","0.20","0.15","","-1.25"
"18.3","2019-06-13"," 9:17:00 AM","2019-06-13"," 11:37:00 AM","CE","11950","Sell","25","3.75","0.50","","81.25"
"18.4","2019-06-13"," 9:17:00 AM","2019-06-13"," 11:37:00 AM","PE","11750","Sell","25","0.60","1.00","","-10.00"
"19","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:51:00 AM","","","","","","","14.45","-133.75"
"19.1","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:18:00 AM","CE","11850","Buy","25","0.80","0.65","","-3.75"
"19.2","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:18:00 AM","PE","11450","Buy","25","0.20","0.15","","-1.25"
"19.3","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:51:00 AM","CE","11750","Sell","25","9.60","15.45","","-146.25"
"19.4","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:51:00 AM","PE","11550","Sell","25","1.70","1.00","","17.50"
"20","2019-06-27"," 9:17:00 AM","2019-06-27"," 1:40:00 PM","","","","","","","14.45","110.00"
"20.1","2019-06-27"," 9:17:00 AM","2019-06-27"," 9:18:00 AM","CE","12050","Buy","25","0.25","0.20","","-1.25"
"20.2","2019-06-27"," 9:17:00 AM","2019-06-27"," 9:20:00 AM","PE","11650","Buy","25","0.45","0.35","","-2.50"
"20.3","2019-06-27"," 9:17:00 AM","2019-06-27"," 1:40:00 PM","CE","11950","Sell","25","4.80","1.65","","78.75"
"20.4","2019-06-27"," 9:17:00 AM","2019-06-27"," 1:40:00 PM","PE","11750","Sell","25","1.85","0.45","","35.00"
"21","2019-07-04"," 9:17:00 AM","2019-07-04"," 12:33:00 PM","","","","","","","13.55","56.25"
"21.1","2019-07-04"," 9:17:00 AM","2019-07-04"," 9:18:00 AM","CE","12150","Buy","25","0.10","0.10","","0.00"
"21.2","2019-07-04"," 9:17:00 AM","2019-07-04"," 9:18:00 AM","PE","11750","Buy","25","0.45","0.35","","-2.50"
"21.3","2019-07-04"," 9:17:00 AM","2019-07-04"," 12:33:00 PM","CE","12050","Sell","25","0.60","0.35","","6.25"
"21.4","2019-07-04"," 9:17:00 AM","2019-07-04"," 12:33:00 PM","PE","11850","Sell","25","3.15","1.05","","52.50"
"22","2019-07-11"," 9:17:00 AM","2019-07-11"," 10:54:00 AM","","","","","","","12.81","61.25"
"22.1","2019-07-11"," 9:17:00 AM","2019-07-11"," 9:18:00 AM","CE","11750","Buy","25","0.30","0.25","","-1.25"
"22.2","2019-07-11"," 9:17:00 AM","2019-07-11"," 9:18:00 AM","PE","11350","Buy","25","0.35","0.30","","-1.25"
"22.3","2019-07-11"," 9:17:00 AM","2019-07-11"," 10:54:00 AM","CE","11650","Sell","25","2.20","0.70","","37.50"
"22.4","2019-07-11"," 9:17:00 AM","2019-07-11"," 10:54:00 AM","PE","11450","Sell","25","1.95","0.90","","26.25"
"23","2019-07-18"," 9:17:00 AM","2019-07-18"," 12:03:00 PM","","","","","","","11.55","21.25"
"23.1","2019-07-18"," 9:17:00 AM","2019-07-18"," 9:18:00 AM","CE","11850","Buy","25","0.10","0.10","","0.00"
